lang,iso_code,wals_code,script,variety,name,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,ttr,ttr_sd,msp,msp_sd,ws,ws_sd,wh,wh_sd,lh,lh_sd,is,is_sd,mfh,mfh_sd,-ia,-ia_sd,family,genus,train_frac_estimate,ttr_flores,d_syn,h_dep_avg,h_codep_avg
ace_Arab,ace,ace,Arab,achi1257,Acehnese (Arabic script),,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,Austronesian,Malayo-Sumbawan,1.1292580453825333e-06,0.2677527551509343,0.67,,
ace_Latn,ace,ace,Latn,achi1257,Acehnese (Latin script),,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,Austronesian,Malayo-Sumbawan,0.0004770782463453,0.2732366183091546,0.67,,
acm_Arab,acm,arq,Arab,meso1252,Mesopotamian Arabic,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,Afro-Asiatic,Semitic,0.0,0.472761109857884,0.68,,
acq_Arab,acq,,Arab,taiz1242,Taʽizzi-Adeni Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0,0.4683356258596974,0.57,,
aeb_Arab,aeb,atu,Arab,tuni1259,Tunisian Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afro-Asiatic,Semitic,0.0,0.4683494710919572,0.93,,
afr_Latn,afr,afr,Latn,afri1274,Afrikaans,,,,,,,,,,,,,0.168628,0.002374534902,1.148436674,0.004036106645,0.543985029,0.01145824773,8.941647741,0.02190106666,8.775155967,0.02028307541,3.0,0.0,3.867341943,0.5501693385,-0.6670442898,0.0,Indo-European,Germanic,0.0037800207238562,0.2515958416925041,0.63,0.5623483705682986,0.46237361650064446
als_Latn,als,,Latn,tosk1239,Albanian (Tosk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0129289789331282,0.2936806148590948,0.55,,
amh_Ethi,amh,amh,Ethi,amha1245,Amharic,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,Afro-Asiatic,Semitic,0.0025865751260227,0.5000596089651884,0.61,,
apc_Arab_nort3139,apc,anl,Arab,nort3139,Levantine Arabic (North),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afro-Asiatic,Semitic,0.0,0.4849091016061658,0.61,,
apc_Arab_sout3123,apc,,Arab,sout3123,Levantine Arabic (South),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0,0.4499408417375626,0.61,,
