ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Example_ID
23A-ace,ace,23A,1,23A-1,,Durie-1985,
24A-ace,ace,24A,1,24A-1,,Durie-1985,
25A-ace,ace,25A,1,25A-1,,Durie-1985,
25B-ace,ace,25B,2,25B-2,,Durie-1985,
26A-ace,ace,26A,1,26A-1,,Durie-1985[passim],
20A-aeg,aeg,20A,6,20A-6,,Brustad-2000;Gary-and-Gamal-Eldin-1982;Mitchell-1956,
21A-aeg,aeg,21A,5,21A-5,,Brustad-2000;Gary-and-Gamal-Eldin-1982;Mitchell-1956,
21B-aeg,aeg,21B,3,21B-3,,Gary-and-Gamal-Eldin-1982;Brustad-2000;Mitchell-1956,
22A-aeg,aeg,22A,4,22A-4,,Mitchell-1956,
23A-aeg,aeg,23A,4,23A-4,,Gary-and-Gamal-Eldin-1982,
24A-aeg,aeg,24A,4,24A-4,,Gary-and-Gamal-Eldin-1982,
25A-aeg,aeg,25A,5,25A-5,,Gary-and-Gamal-Eldin-1982,
25B-aeg,aeg,25B,2,25B-2,,Gary-and-Gamal-Eldin-1982,
26A-aeg,aeg,26A,3,26A-3,,Gary-and-Gamal-Eldin-1982[passim],
27A-aeg,aeg,27A,1,27A-1,,Moravcsik-1978,
28A-aeg,aeg,28A,1,28A-1,,Mitchell-1962,
29A-aeg,aeg,29A,2,29A-2,,Mitchell-1962,
26A-amh,amh,26A,3,26A-3,,Leslau-1995[passim],
27A-amh,amh,27A,1,27A-1,,Devens-2001a,
26A-amr,amr,26A,3,26A-3,,Harrell-1962[passim],
26A-ams,ams,26A,2,26A-2,,Cowan-1958[passim];Haywood-and-Nahmad-1965[passim],
22A-arm,arm,22A,2,22A-2,,Minassian-1980;Tumanjan-1966,
26A-arm,arm,26A,2,26A-2,,Stevick-1955[passim],
27A-arm,arm,27A,2,27A-2,,Greppin-2001,
28A-arm,arm,28A,3,28A-3,,Garibjan-1976,
29A-arm,arm,29A,3,29A-3,,Garibjan-1976,
26A-arq,arq,26A,4,26A-4,,Erwin-1963[passim],
26A-ass,ass,26A,2,26A-2,,Goswami-and-Tamuli-2003[passim],
27A-ass,ass,27A,1,27A-1,,Goswami-1970,
20A-aym,aym,20A,1,20A-1,,Hardman-2001;Hardman-de-Bautista-et-al-1988,
21A-aym,aym,21A,1,21A-1,,Hardman-2001;Hardman-de-Bautista-et-al-1988,
21B-aym,aym,21B,2,21B-2,,Hardman-2001;Hardman-de-Bautista-et-al-1988,
22A-aym,aym,22A,5,22A-5,,Hardman-de-Bautista-et-al-1988,
23A-aym,aym,23A,3,23A-3,,Hardman-2001,
24A-aym,aym,24A,3,24A-3,,Hardman-2001,
25A-aym,aym,25A,3,25A-3,,Hardman-2001,
25B-aym,aym,25B,2,25B-2,,Hardman-2001,
26A-aym,aym,26A,2,26A-2,,Ebbing-1965[passim];Wexler-1967[passim],
27A-aym,aym,27A,1,27A-1,,Hardman-de-Bautista-1974,
28A-aym,aym,28A,1,28A-1,,Deza-Galindo-1992,
