lang,d_gen,d_geo,d_syn,d_inv,d_pho,d_fea
ace_Arab,1.0,0.3,0.67,0.6372,0.0002,0.8
ace_Latn,1.0,0.3,0.67,0.6372,0.0002,0.8
acm_Arab,0.25,0.0,0.65,0.0,0.0002,0.7
acq_Arab,0.1429,0.1,0.67,0.0,0.0002,0.8
aeb_Arab,0.1429,0.2,1.0,0.0,0.0002,1.0
afr_Latn,1.0,0.3,0.79,0.669,0.0002,0.9
als_Latn,1.0,0.1,0.53,0.6643,0.5687,0.7
amh_Ethi,0.625,0.1,0.74,0.6597,0.5687,0.8
apc_Arab_nort3139,0.25,0.1,0.57,0.0,0.0002,0.6
apc_Arab_sout3123,0.25,0.1,0.57,0.0,0.0002,0.6
arb_Arab,0.0,0.0,0.0,0.0,0.0002,0.0
arb_Latn,0.0,0.0,0.0,0.0,0.0002,0.0
ars_Arab,0.25,0.0,0.87,0.0,0.0002,0.9
ary_Arab,0.3333,0.2,0.58,0.6328,0.7877,0.7
arz_Arab,0.3333,0.1,0.55,0.6068,0.5456,0.7
asm_Beng,1.0,0.2,0.82,0.6643,0.0002,0.9
ast_Latn,1.0,0.2,0.67,0.0,0.0002,0.8
awa_Deva,1.0,0.2,0.9,0.6328,0.0002,1.0
ayr_Latn,1.0,0.7,0.81,0.6737,0.6162,0.9
azb_Arab,1.0,0.1,0.8,0.669,0.5922,0.9
azj_Latn,1.0,0.1,0.67,0.6461,0.0002,1.0
bak_Cyrl,1.0,0.2,0.76,0.5983,0.5,0.9
bam_Latn,1.0,0.3,0.78,0.6416,0.5687,0.9
ban_Latn,1.0,0.4,1.0,0.6978,0.0002,1.0
bel_Cyrl,1.0,0.2,0.65,0.0,0.0002,0.6
bem_Latn,1.0,0.2,0.87,0.7079,0.0002,1.0
ben_Beng,1.0,0.2,0.84,0.5983,0.6162,0.9
bho_Deva,1.0,0.2,0.68,0.0,0.0002,0.7
bjn_Arab,1.0,0.4,0.67,0.0,0.0002,0.8
bjn_Latn,1.0,0.4,0.67,0.0,0.0002,0.8
bod_Tibt,1.0,0.2,0.88,0.6506,0.5922,0.9
bos_Latn,1.0,0.1,0.63,0.0,0.0002,0.6
brx_Deva,1.0,0.2,0.82,0.7079,0.5922,0.9
bug_Latn,1.0,0.4,0.76,0.6929,0.0002,0.9
bul_Cyrl,1.0,0.1,0.64,0.6416,0.6162,0.8
cat_Latn,1.0,0.2,0.67,0.6461,0.6162,0.8
ceb_Latn,1.0,0.4,0.75,0.713,0.0002,0.9
ces_Latn,1.0,0.2,0.71,0.6784,0.0002,0.8
chv_Cyrl,1.0,0.2,0.8,0.6461,0.5922,0.9
cjk_Latn,1.0,0.2,0.67,0.0,0.0002,0.8
ckb_Arab,1.0,0.0,0.95,0.0,0.0002,0.9
cmn_Hans,1.0,0.3,0.72,0.624,0.5687,0.8
cmn_Hant,1.0,0.3,0.72,0.624,0.5687,0.8
crh_Latn,1.0,0.1,0.67,0.0,0.879,1.0
cym_Latn,1.0,0.2,0.49,0.0,0.0002,0.5
dan_Latn,1.0,0.2,0.64,0.0,0.0002,0.6
deu_Latn,1.0,0.2,0.74,0.6153,0.5456,0.8
dgo_Deva,1.0,0.2,0.93,0.0,0.0002,0.9
dik_Latn,1.0,0.1,0.67,0.0,0.0002,0.8
dyu_Latn,1.0,0.3,0.67,0.669,0.0002,1.0
dzo_Tibt,1.0,0.2,0.67,0.0,0.0002,0.8
ekk_Latn,1.0,0.2,0.79,0.0,0.0002,0.8
ell_Grek,1.0,0.1,0.64,0.6929,0.5922,0.8
eng_Latn,1.0,0.2,0.67,0.5983,0.5687,0.8
epo_Latn,1.0,0.2,0.8,0.0,0.0002,0.8
eus_Latn,1.0,0.2,0.74,0.669,0.641,0.8
ewe_Latn,1.0,0.3,0.77,0.6025,0.5228,0.9
fao_Latn,1.0,0.3,0.76,0.0,0.0002,0.8
fij_Latn,1.0,0.8,0.67,0.6978,0.641,0.8
fil_Latn,1.0,0.4,0.67,0.688,0.0002,1.0
fin_Latn,1.0,0.2,0.62,0.6506,0.5687,0.8
fon_Latn,1.0,0.2,0.74,0.6597,0.0002,0.9
fra_Latn,1.0,0.2,0.67,0.6025,0.5456,0.8
fur_Latn,1.0,0.2,0.67,0.6597,0.0002,1.0
fuv_Latn,1.0,0.2,1.0,0.6506,0.0002,1.0
gaz_Latn,0.8571,0.1,0.94,0.0,0.0002,0.9
gla_Latn,1.0,0.2,0.59,0.0,0.0002,0.6
gle_Latn,1.0,0.3,0.52,0.6068,0.0002,0.7
glg_Latn,1.0,0.2,0.68,0.6552,0.0002,0.8
gom_Deva,1.0,0.2,0.67,0.0,0.0002,0.8
gug_Latn,1.0,0.6,0.77,0.6643,0.641,0.9
guj_Gujr,1.0,0.1,0.8,0.6025,0.0002,0.9
hat_Latn,1.0,0.6,0.7,0.0,0.0002,0.7
hau_Latn,0.8333,0.2,0.68,0.6328,0.5456,0.8
heb_Hebr,0.5,0.0,0.6,0.7028,0.0002,0.7
hin_Deva,1.0,0.2,0.74,0.5363,0.5922,0.9
hne_Deva,1.0,0.2,0.67,0.0,0.0002,0.8
hrv_Latn,1.0,0.2,0.87,0.6832,0.0002,1.0
hun_Latn,1.0,0.1,0.69,0.6461,0.5922,0.8
hye_Armn,1.0,0.1,0.71,0.6737,0.6162,0.8
ibo_Latn,1.0,0.2,0.76,0.624,0.5456,0.9
ilo_Latn,1.0,0.4,0.64,0.6643,0.0002,0.8
ind_Latn,1.0,0.4,0.6,0.669,0.5687,0.8
isl_Latn,1.0,0.3,0.7,0.6506,0.0002,0.8
ita_Latn,1.0,0.2,0.64,0.6737,0.0002,0.8
jav_Latn,1.0,0.4,0.88,0.611,0.7223,1.0
jpn_Jpan,1.0,0.4,0.87,0.6597,0.6162,0.9
kab_Latn,0.75,0.2,0.6,0.688,0.0002,0.8
kac_Latn,1.0,0.3,0.85,0.7028,0.6162,0.9
kam_Latn,1.0,0.2,0.86,0.6978,0.0002,0.9
kan_Knda,1.0,0.2,0.84,0.6372,0.641,0.9
kas_Arab,1.0,0.1,0.78,0.6025,0.6667,0.9
kas_Deva,1.0,0.1,0.78,0.6025,0.6667,0.9
kat_Geor,1.0,0.1,0.75,0.6832,0.5687,0.8
kaz_Cyrl,1.0,0.1,0.93,0.0,0.879,0.9
kbp_Latn,1.0,0.2,0.81,0.6506,0.0002,0.9
kea_Latn,1.0,0.4,0.67,0.6784,0.0002,1.0
khk_Cyrl,1.0,0.3,0.81,0.6597,0.6162,0.9
khm_Khmr,1.0,0.3,0.69,0.6372,0.6667,0.8
kik_Latn,1.0,0.2,0.81,0.688,0.0002,0.9
kin_Latn,1.0,0.2,0.73,0.6552,0.0002,0.9
kir_Cyrl,1.0,0.2,0.77,0.6328,0.5456,0.9
kmb_Latn,1.0,0.3,0.67,0.0,0.0002,0.8
kmr_Latn,1.0,0.1,0.72,0.6328,0.5456,0.9
knc_Arab,1.0,0.2,0.84,0.6196,0.5456,0.9
knc_Latn,1.0,0.2,0.84,0.6196,0.5456,0.9
kor_Hang,1.0,0.4,0.81,0.6737,0.641,0.9
ktu_Latn,1.0,0.2,0.67,0.7181,0.0002,1.0
lao_Laoo,1.0,0.3,0.66,0.6643,0.0002,0.8
lij_Latn,1.0,0.2,0.67,0.0,0.0002,0.8
lim_Latn,1.0,0.2,0.67,0.0,0.0002,0.8
lin_Latn,1.0,0.2,0.8,0.6929,0.0002,0.9
lit_Latn,1.0,0.2,0.66,0.6506,0.641,0.8
lmo_Latn,1.0,0.2,0.67,0.0,0.0002,0.8
ltg_Latn,1.0,1.0,0.67,0.0,0.0002,0.8
ltz_Latn,1.0,0.2,0.82,0.0,0.0002,0.8
lua_Latn,1.0,0.2,0.67,0.0,0.5922,1.0
