lang,d_gen,d_geo,d_syn,d_inv,d_pho,d_fea
ace_Arab,1.0,0.5,0.67,0.4738,0.5687,0.6
ace_Latn,1.0,0.5,0.67,0.4738,0.5687,0.6
acm_Arab,1.0,0.2,0.68,0.5983,0.5687,0.8
acq_Arab,1.0,0.3,0.57,0.5983,0.5687,0.6
aeb_Arab,1.0,0.1,0.93,0.5983,0.5687,1.0
afr_Latn,0.6,0.4,0.63,0.5144,0.5687,0.6
als_Latn,0.75,0.1,0.55,0.4838,0.2736,0.5
amh_Ethi,1.0,0.3,0.61,0.492,0.4816,0.5
apc_Arab_nort3139,1.0,0.2,0.61,0.5983,0.5687,0.8
apc_Arab_sout3123,1.0,0.2,0.61,0.5983,0.5687,0.8
arb_Arab,1.0,0.2,0.67,0.5983,0.5687,0.8
arb_Latn,1.0,0.2,0.67,0.5983,0.5687,0.8
ars_Arab,1.0,0.2,0.79,0.5983,0.5687,0.9
ary_Arab,1.0,0.1,0.64,0.5503,0.8886,0.6
arz_Arab,1.0,0.2,0.62,0.4688,0.427,0.5
asm_Beng,0.9,0.4,0.81,0.4638,0.5687,0.6
ast_Latn,0.9,0.1,0.57,0.5983,0.5687,0.6
awa_Deva,0.9,0.4,0.88,0.5166,0.5687,0.7
ayr_Latn,1.0,0.5,0.67,0.5978,0.5879,0.6
azb_Arab,1.0,0.2,0.75,0.5514,0.3433,0.6
azj_Latn,1.0,0.2,0.57,0.5491,0.5687,0.7
bak_Cyrl,1.0,0.2,0.74,0.4286,0.3064,0.5
bam_Latn,1.0,0.2,0.67,0.5032,0.39,0.6
ban_Latn,1.0,0.6,1.0,0.5233,0.5687,0.7
bel_Cyrl,0.9,0.1,0.76,0.5983,0.5687,0.9
bem_Latn,1.0,0.4,0.79,0.5043,0.5687,0.6
ben_Beng,0.875,0.4,0.7,0.4982,0.4054,0.6
bho_Deva,0.9,0.4,0.68,0.5983,0.5687,0.8
bjn_Arab,1.0,0.6,0.57,0.5983,0.5687,0.6
bjn_Latn,1.0,0.6,0.57,0.5983,0.5687,0.6
bod_Tibt,1.0,0.4,0.78,0.5252,0.4477,0.6
bos_Latn,0.9,0.1,0.61,0.5983,0.5687,0.8
brx_Deva,1.0,0.4,0.71,0.5256,0.3433,0.6
bug_Latn,1.0,0.6,0.71,0.5119,0.5687,0.6
bul_Cyrl,0.8571,0.1,0.48,0.521,0.2804,0.5
cat_Latn,0.9,0.1,0.53,0.4581,0.2804,0.5
ceb_Latn,1.0,0.6,0.8,0.5371,0.5687,0.7
ces_Latn,0.9,0.1,0.66,0.5368,0.5687,0.6
chv_Cyrl,1.0,0.2,0.75,0.5319,0.3433,0.6
cjk_Latn,1.0,0.4,0.57,0.5983,0.5687,0.6
ckb_Arab,0.9,0.2,0.92,0.5983,0.5687,0.9
cmn_Hans,1.0,0.4,0.55,0.5926,0.39,0.6
cmn_Hant,1.0,0.4,0.55,0.5926,0.39,0.6
crh_Latn,1.0,0.1,0.57,0.5983,0.805,0.9
cym_Latn,0.9,0.0,0.57,0.5983,0.5687,0.8
dan_Latn,0.7,0.0,0.5,0.5983,0.5687,0.7
deu_Latn,0.4286,0.1,0.42,0.4364,0.3277,0.4
dgo_Deva,0.9,0.3,0.9,0.5983,0.5687,0.9
dik_Latn,1.0,0.3,0.57,0.5983,0.5687,0.6
dyu_Latn,1.0,0.2,0.57,0.4752,0.5687,0.6
