lang,d_gen,d_geo,d_syn,d_inv,d_pho,d_fea
ace_Arab,1.0,0.5,0.58,0.4209,0.0002,0.5
ace_Latn,1.0,0.5,0.58,0.4209,0.0002,0.5
acm_Arab,1.0,0.1,0.62,0.6737,0.0002,0.8
acq_Arab,1.0,0.2,0.61,0.6737,0.0002,0.7
aeb_Arab,1.0,0.1,1.0,0.6737,0.0002,1.0
afr_Latn,0.9,0.4,0.59,0.4569,0.0002,0.5
als_Latn,0.75,0.0,0.44,0.441,0.5687,0.5
amh_Ethi,1.0,0.2,0.64,0.4249,0.5687,0.6
apc_Arab_nort3139,1.0,0.1,0.54,0.6737,0.0002,0.7
apc_Arab_sout3123,1.0,0.1,0.54,0.6737,0.0002,0.7
arb_Arab,1.0,0.2,0.64,0.6737,0.0002,0.8
arb_Latn,1.0,0.2,0.64,0.6737,0.0002,0.8
ars_Arab,1.0,0.1,0.77,0.6737,0.0002,0.8
ary_Arab,1.0,0.1,0.58,0.539,0.7877,0.6
arz_Arab,1.0,0.1,0.63,0.5339,0.5456,0.6
asm_Beng,0.9,0.4,0.74,0.441,0.0002,0.6
ast_Latn,0.3,0.1,0.61,0.6737,0.0002,0.7
awa_Deva,0.9,0.3,0.83,0.4975,0.0002,0.6
ayr_Latn,1.0,0.5,0.68,0.5648,0.6162,0.6
azb_Arab,1.0,0.2,0.78,0.5924,0.5922,0.7
azj_Latn,1.0,0.1,0.61,0.5812,0.0002,0.7
bak_Cyrl,1.0,0.2,0.72,0.5064,0.5,0.6
bam_Latn,1.0,0.2,0.64,0.3855,0.5687,0.5
ban_Latn,1.0,0.6,1.0,0.448,0.0002,0.6
bel_Cyrl,0.9,0.1,0.64,0.6737,0.0002,0.8
bem_Latn,1.0,0.3,0.77,0.4528,0.0002,0.6
ben_Beng,0.875,0.4,0.72,0.5625,0.6162,0.7
bho_Deva,0.9,0.3,0.62,0.6737,0.0002,0.8
bjn_Arab,1.0,0.6,0.61,0.6737,0.0002,0.7
bjn_Latn,1.0,0.6,0.61,0.6737,0.0002,0.7
bod_Tibt,1.0,0.3,0.84,0.5552,0.5922,0.7
bos_Latn,0.9,0.0,0.57,0.6737,0.0002,0.7
brx_Deva,1.0,0.3,0.71,0.507,0.5922,0.6
bug_Latn,1.0,0.6,0.69,0.459,0.0002,0.6
bul_Cyrl,0.8571,0.1,0.42,0.5052,0.6162,0.5
cat_Latn,0.3636,0.0,0.41,0.3459,0.6162,0.4
ceb_Latn,1.0,0.6,0.75,0.4966,0.0002,0.6
ces_Latn,0.8571,0.0,0.55,0.4371,0.0002,0.5
chv_Cyrl,1.0,0.1,0.73,0.4278,0.5922,0.6
cjk_Latn,1.0,0.3,0.61,0.6737,0.0002,0.7
ckb_Arab,0.9,0.1,0.82,0.6737,0.0002,0.9
cmn_Hans,1.0,0.4,0.6,0.6245,0.5687,0.6
cmn_Hant,1.0,0.4,0.6,0.6245,0.5687,0.6
crh_Latn,1.0,0.1,0.61,0.6737,0.879,1.0
cym_Latn,0.9,0.1,0.5,0.6737,0.0002,0.7
dan_Latn,0.9,0.1,0.6,0.6737,0.0002,0.7
deu_Latn,0.8571,0.0,0.52,0.4819,0.5456,0.5
dgo_Deva,0.9,0.3,0.77,0.6737,0.0002,0.8
dik_Latn,1.0,0.2,0.61,0.6737,0.0002,0.7
dyu_Latn,1.0,0.2,0.61,0.3444,0.0002,0.6
dzo_Tibt,1.0,0.3,0.61,0.6737,0.0002,0.7
ekk_Latn,1.0,0.1,0.66,0.6737,0.0002,0.8
ell_Grek,0.8333,0.0,0.49,0.5103,0.5922,0.5
eng_Latn,0.9,0.1,0.51,0.5064,0.5687,0.5
epo_Latn,1.0,0.1,0.67,0.6737,0.0002,0.8
eus_Latn,1.0,0.1,0.61,0.55,0.641,0.6
ewe_Latn,1.0,0.2,0.65,0.5006,0.5228,0.6
fao_Latn,0.9,0.1,0.6,0.6737,0.0002,0.7
fij_Latn,1.0,0.8,0.63,0.55,0.641,0.6
fil_Latn,1.0,0.5,0.61,0.4947,0.0002,0.7
fin_Latn,1.0,0.1,0.57,0.4906,0.5687,0.6
fon_Latn,1.0,0.2,0.64,0.3697,0.0002,0.5
fra_Latn,0.5625,0.0,0.55,0.4379,0.5456,0.5
fur_Latn,0.4167,0.0,0.61,0.3392,0.0002,0.6
fuv_Latn,1.0,0.2,1.0,0.4185,0.0002,0.6
gaz_Latn,1.0,0.2,0.8,0.6737,0.0002,0.9
gla_Latn,0.9,0.1,0.58,0.6737,0.0002,0.7
gle_Latn,0.875,0.1,0.52,0.5711,0.0002,0.6
glg_Latn,0.4615,0.1,0.54,0.4345,0.0002,0.5
gom_Deva,0.9,0.3,0.61,0.6737,0.0002,0.7
