lang,d_gen,d_geo,d_syn,d_inv,d_pho,d_fea
ace_Arab,1.0,0.5,0.62,0.4607,0.0002,0.5
ace_Latn,1.0,0.5,0.62,0.4607,0.0002,0.5
acm_Arab,1.0,0.2,0.63,0.6068,0.0002,0.8
acq_Arab,1.0,0.3,0.63,0.6068,0.0002,0.6
aeb_Arab,1.0,0.1,1.0,0.6068,0.0002,1.0
afr_Latn,0.4,0.4,0.48,0.3948,0.0002,0.4
als_Latn,0.75,0.1,0.58,0.5108,0.5687,0.6
amh_Ethi,1.0,0.3,0.61,0.5183,0.5687,0.6
apc_Arab_nort3139,1.0,0.2,0.64,0.6068,0.0002,0.8
apc_Arab_sout3123,1.0,0.2,0.64,0.6068,0.0002,0.8
arb_Arab,1.0,0.2,0.75,0.6068,0.0002,0.9
arb_Latn,1.0,0.2,0.75,0.6068,0.0002,0.9
ars_Arab,1.0,0.2,0.76,0.6068,0.0002,0.9
ary_Arab,1.0,0.1,0.62,0.5734,0.7877,0.6
arz_Arab,1.0,0.2,0.69,0.5566,0.5456,0.6
asm_Beng,0.9,0.4,0.69,0.4502,0.0002,0.5
ast_Latn,0.9,0.1,0.63,0.6068,0.0002,0.6
awa_Deva,0.9,0.3,0.82,0.5401,0.0002,0.6
ayr_Latn,1.0,0.5,0.66,0.5339,0.6162,0.6
azb_Arab,1.0,0.2,0.73,0.4622,0.5922,0.6
azj_Latn,1.0,0.2,0.63,0.5027,0.0002,0.6
bak_Cyrl,1.0,0.2,0.7,0.4134,0.5,0.6
bam_Latn,1.0,0.2,0.64,0.4527,0.5687,0.6
ban_Latn,1.0,0.6,1.0,0.5122,0.0002,0.6
bel_Cyrl,0.9,0.1,0.68,0.6068,0.0002,0.8
bem_Latn,1.0,0.4,0.76,0.4695,0.0002,0.6
ben_Beng,0.875,0.4,0.67,0.5193,0.6162,0.6
bho_Deva,0.9,0.4,0.66,0.6068,0.0002,0.8
bjn_Arab,1.0,0.6,0.63,0.6068,0.0002,0.6
bjn_Latn,1.0,0.6,0.63,0.6068,0.0002,0.6
bod_Tibt,1.0,0.4,0.8,0.5323,0.5922,0.7
bos_Latn,0.9,0.1,0.54,0.6068,0.0002,0.7
brx_Deva,1.0,0.4,0.63,0.5359,0.5922,0.6
bug_Latn,1.0,0.6,0.66,0.5004,0.0002,0.6
bul_Cyrl,0.8571,0.1,0.5,0.5097,0.6162,0.5
cat_Latn,0.9091,0.1,0.47,0.4234,0.6162,0.5
