lang,d_gen,d_geo,d_syn,d_inv,d_pho,d_fea
ace_Arab,1.0,0.4,0.78,0.4792,0.5922,0.6
ace_Latn,1.0,0.4,0.78,0.4792,0.5922,0.6
acm_Arab,1.0,0.1,0.74,0.6196,0.5922,0.8
acq_Arab,1.0,0.2,0.55,0.6196,0.5922,0.6
aeb_Arab,1.0,0.1,0.86,0.6196,0.5922,0.9
afr_Latn,1.0,0.3,0.72,0.4406,0.5922,0.6
als_Latn,1.0,0.1,0.7,0.4501,0.195,0.5
amh_Ethi,1.0,0.2,0.54,0.4801,0.4477,0.5
apc_Arab_nort3139,1.0,0.0,0.7,0.6196,0.5922,0.8
apc_Arab_sout3123,1.0,0.0,0.7,0.6196,0.5922,0.8
arb_Arab,1.0,0.1,0.77,0.6196,0.5922,0.9
arb_Latn,1.0,0.1,0.77,0.6196,0.5922,0.9
ars_Arab,1.0,0.1,0.8,0.6196,0.5922,0.9
ary_Arab,1.0,0.2,0.73,0.541,0.8831,0.6
arz_Arab,1.0,0.0,0.73,0.507,0.3862,0.6
asm_Beng,1.0,0.3,0.61,0.4924,0.5922,0.6
ast_Latn,1.0,0.2,0.55,0.6196,0.5922,0.6
awa_Deva,1.0,0.2,0.77,0.5917,0.5922,0.7
ayr_Latn,1.0,0.6,0.52,0.5747,0.5641,0.6
azb_Arab,0.3333,0.1,0.49,0.4175,0.0,0.4
azj_Latn,0.2857,0.1,0.55,0.3988,0.5922,0.6
bak_Cyrl,0.4286,0.1,0.54,0.484,0.359,0.5
bam_Latn,1.0,0.3,0.71,0.4912,0.4477,0.6
ban_Latn,1.0,0.5,0.86,0.5578,0.5922,0.7
bel_Cyrl,1.0,0.1,0.74,0.6196,0.5922,0.8
bem_Latn,1.0,0.3,0.8,0.562,0.5922,0.7
ben_Beng,1.0,0.3,0.68,0.5667,0.3613,0.6
bho_Deva,1.0,0.2,0.67,0.6196,0.5922,0.8
bjn_Arab,1.0,0.5,0.55,0.6196,0.5922,0.6
bjn_Latn,1.0,0.5,0.55,0.6196,0.5922,0.6
bod_Tibt,1.0,0.3,0.71,0.5338,0.2871,0.6
bos_Latn,1.0,0.1,0.65,0.6196,0.5922,0.8
brx_Deva,1.0,0.3,0.72,0.5189,0.2871,0.6
bug_Latn,1.0,0.5,0.82,0.5455,0.5922,0.7
bul_Cyrl,1.0,0.0,0.67,0.4912,0.2048,0.5
cat_Latn,1.0,0.1,0.73,0.443,0.2048,0.5
ceb_Latn,1.0,0.5,0.81,0.5315,0.5922,0.7
ces_Latn,1.0,0.1,0.6,0.4197,0.5922,0.5
chv_Cyrl,0.6667,0.1,0.52,0.522,0.0,0.5
cjk_Latn,1.0,0.3,0.55,0.6196,0.5922,0.6
ckb_Arab,1.0,0.1,0.79,0.6196,0.5922,0.9
cmn_Hans,1.0,0.3,0.58,0.6327,0.3433,0.6
cmn_Hant,1.0,0.3,0.58,0.6327,0.3433,0.6
crh_Latn,0.4286,0.0,0.55,0.6196,1.0,1.0
cym_Latn,1.0,0.2,0.81,0.6196,0.5922,0.9
dan_Latn,1.0,0.1,0.69,0.6196,0.5922,0.8
deu_Latn,1.0,0.1,0.64,0.418,0.2677,0.5
