lang,d_gen,d_geo,d_syn,d_inv,d_pho,d_fea
ace_Arab,1.0,0.1,0.62,0.4466,0.5456,0.6
ace_Latn,1.0,0.1,0.62,0.4466,0.5456,0.6
acm_Arab,1.0,0.3,0.73,0.6153,0.5456,0.9
acq_Arab,1.0,0.3,0.66,0.6153,0.5456,0.6
aeb_Arab,1.0,0.5,1.0,0.6153,0.5456,1.0
afr_Latn,1.0,0.5,0.8,0.5303,0.5456,0.7
als_Latn,1.0,0.4,0.56,0.5921,0.5096,0.6
amh_Ethi,1.0,0.4,0.77,0.5627,0.5829,0.6
apc_Arab_nort3139,1.0,0.4,0.61,0.6153,0.5456,0.8
apc_Arab_sout3123,1.0,0.4,0.61,0.6153,0.5456,0.8
arb_Arab,1.0,0.3,0.62,0.6153,0.5456,0.8
arb_Latn,1.0,0.3,0.62,0.6153,0.5456,0.8
ars_Arab,1.0,0.3,0.74,0.6153,0.5456,0.9
ary_Arab,1.0,0.6,0.7,0.6124,0.8934,0.7
arz_Arab,1.0,0.4,0.57,0.5462,0.5354,0.6
asm_Beng,1.0,0.1,0.86,0.4574,0.5456,0.6
ast_Latn,1.0,0.5,0.66,0.6153,0.5456,0.6
awa_Deva,1.0,0.1,0.91,0.5635,0.5456,0.7
ayr_Latn,1.0,1.0,0.82,0.5422,0.6082,0.7
azb_Arab,1.0,0.3,0.83,0.4906,0.4788,0.6
azj_Latn,1.0,0.3,0.66,0.5094,0.5456,0.6
bak_Cyrl,1.0,0.3,0.89,0.455,0.5114,0.6
bam_Latn,1.0,0.6,0.71,0.4976,0.3277,0.5
ban_Latn,1.0,0.2,0.82,0.563,0.5456,0.7
bel_Cyrl,1.0,0.4,0.73,0.6153,0.5456,0.9
bem_Latn,1.0,0.5,0.74,0.5248,0.5456,0.6
ben_Beng,1.0,0.1,0.82,0.5242,0.4407,0.6
bho_Deva,1.0,0.1,0.75,0.6153,0.5456,0.9
bjn_Arab,1.0,0.1,0.66,0.6153,0.5456,0.6
bjn_Latn,1.0,0.1,0.66,0.6153,0.5456,0.6
bod_Tibt,1.0,0.1,0.82,0.5574,0.4788,0.6
bos_Latn,1.0,0.4,0.68,0.6153,0.5456,0.8
brx_Deva,1.0,0.1,0.91,0.5875,0.3862,0.7
bug_Latn,1.0,0.1,0.6,0.5509,0.5456,0.6
bul_Cyrl,1.0,0.4,0.58,0.552,0.4407,0.6
cat_Latn,1.0,0.5,0.66,0.5094,0.4407,0.6
ceb_Latn,1.0,0.1,0.8,0.5795,0.5456,0.7
ces_Latn,1.0,0.4,0.78,0.5541,0.5456,0.7
chv_Cyrl,1.0,0.3,0.92,0.5806,0.4788,0.7
cjk_Latn,1.0,0.5,0.66,0.6153,0.5456,0.6
ckb_Arab,1.0,0.3,0.9,0.6153,0.5456,0.9
cmn_Hans,1.0,0.1,0.61,0.606,0.3277,0.6
cmn_Hant,1.0,0.1,0.61,0.606,0.3277,0.6
crh_Latn,1.0,0.4,0.66,0.6153,0.8136,0.9
cym_Latn,1.0,0.5,0.54,0.6153,0.5456,0.8
dan_Latn,1.0,0.4,0.66,0.6153,0.5456,0.8
deu_Latn,1.0,0.4,0.72,0.4648,0.4601,0.6
dgo_Deva,1.0,0.2,0.87,0.6153,0.5456,0.9
dik_Latn,1.0,0.4,0.66,0.6153,0.5456,0.6
dyu_Latn,1.0,0.6,0.66,0.4697,0.5456,0.6
dzo_Tibt,1.0,0.1,0.66,0.6153,0.5456,0.6
ekk_Latn,1.0,0.4,0.8,0.6153,0.5456,0.9
ell_Grek,1.0,0.4,0.66,0.59,0.4788,0.6
eng_Latn,1.0,0.5,0.57,0.455,0.427,0.5
epo_Latn,1.0,0.5,0.73,0.6153,0.5456,0.9
eus_Latn,1.0,0.5,0.69,0.6038,0.4934,0.6
ewe_Latn,1.0,0.6,0.65,0.4845,0.3141,0.5
fao_Latn,1.0,0.5,0.73,0.6153,0.5456,0.9
fij_Latn,1.0,0.4,0.63,0.563,0.4934,0.6
fil_Latn,1.0,0.1,0.66,0.4973,0.5456,0.6
fin_Latn,1.0,0.4,0.66,0.5211,0.427,0.6
fon_Latn,1.0,0.6,0.52,0.5065,0.5456,0.6
fra_Latn,1.0,0.5,0.61,0.5018,0.5354,0.5
fur_Latn,1.0,0.4,0.66,0.4868,0.5456,0.6
fuv_Latn,1.0,0.5,1.0,0.4418,0.5456,0.6
gaz_Latn,1.0,0.4,0.89,0.6153,0.5456,0.9
gla_Latn,1.0,0.5,0.57,0.6153,0.5456,0.8
gle_Latn,1.0,0.5,0.54,0.5131,0.5456,0.6
glg_Latn,1.0,0.5,0.73,0.5328,0.5456,0.6
gom_Deva,1.0,0.2,0.66,0.6153,0.5456,0.6
gug_Latn,1.0,0.9,0.69,0.5375,0.4934,0.6
guj_Gujr,1.0,0.2,0.74,0.5187,0.5456,0.6
hat_Latn,1.0,0.8,0.6,0.6153,0.5456,0.8
hau_Latn,1.0,0.5,0.54,0.5635,0.3729,0.5
heb_Hebr,1.0,0.4,0.62,0.5125,0.5456,0.6
hin_Deva,1.0,0.2,0.75,0.5186,0.4788,0.6
hne_Deva,1.0,0.1,0.66,0.6153,0.5456,0.6
hrv_Latn,1.0,0.4,0.74,0.566,0.5456,0.7
hun_Latn,1.0,0.4,0.68,0.5278,0.4788,0.6
hye_Armn,1.0,0.3,0.77,0.5422,0.5295,0.6
ibo_Latn,1.0,0.5,0.58,0.4502,0.3729,0.5
ilo_Latn,1.0,0.1,0.76,0.4988,0.5456,0.6
ind_Latn,1.0,0.1,0.36,0.5107,0.3277,0.4
isl_Latn,1.0,0.5,0.69,0.5022,0.5456,0.6
ita_Latn,1.0,0.4,0.61,0.5227,0.5456,0.6
jav_Latn,1.0,0.1,0.71,0.5072,0.5533,0.6
jpn_Jpan,1.0,0.2,0.83,0.5065,0.5295,0.6
kab_Latn,1.0,0.5,0.66,0.5969,0.5456,0.6
kac_Latn,1.0,0.1,0.73,0.5549,0.4407,0.6
kam_Latn,1.0,0.4,0.72,0.5218,0.5456,0.6
kan_Knda,1.0,0.2,0.87,0.5578,0.4934,0.7
kas_Arab,1.0,0.2,0.73,0.5513,0.5456,0.6
kas_Deva,1.0,0.2,0.73,0.5513,0.5456,0.6
kat_Geor,1.0,0.3,0.74,0.566,0.5829,0.6
kaz_Cyrl,1.0,0.2,0.87,0.6153,0.8136,0.9
kbp_Latn,1.0,0.6,0.66,0.4626,0.5456,0.6
kea_Latn,1.0,0.7,0.66,0.573,0.5456,0.7
khk_Cyrl,1.0,0.2,0.84,0.5805,0.4407,0.7
khm_Khmr,0.6667,0.0,0.39,0.4258,0.4467,0.4
kik_Latn,1.0,0.4,0.66,0.5184,0.5456,0.6
kin_Latn,1.0,0.4,0.74,0.514,0.5456,0.6
kir_Cyrl,1.0,0.2,0.85,0.5291,0.4601,0.6
kmb_Latn,1.0,0.5,0.66,0.6153,0.5456,0.6
kmr_Latn,1.0,0.3,0.77,0.5291,0.4601,0.6
knc_Arab,1.0,0.5,0.82,0.5125,0.2617,0.6
knc_Latn,1.0,0.5,0.82,0.5125,0.2617,0.6
kor_Hang,1.0,0.1,0.75,0.4819,0.4934,0.6
ktu_Latn,1.0,0.5,0.66,0.571,0.5456,0.7
lao_Laoo,1.0,0.0,0.47,0.4574,0.5456,0.5
lij_Latn,1.0,0.5,0.66,0.6153,0.5456,0.6
lim_Latn,1.0,0.5,0.66,0.6153,0.5456,0.6
lin_Latn,1.0,0.5,0.66,0.5095,0.5456,0.6
lit_Latn,1.0,0.4,0.75,0.5394,0.4934,0.6
lmo_Latn,1.0,0.5,0.66,0.6153,0.5456,0.6
ltg_Latn,1.0,1.0,0.66,0.6153,0.5456,0.6
ltz_Latn,1.0,0.5,0.74,0.6153,0.5456,0.9
lua_Latn,1.0,0.5,0.66,0.6153,0.3862,0.8
lug_Latn,1.0,0.4,0.73,0.5125,0.5456,0.6
luo_Latn,1.0,0.4,0.58,0.4648,0.4407,0.5
lus_Latn,1.0,0.1,0.73,0.4697,0.5456,0.6
lvs_Latn,1.0,1.0,0.66,0.6153,0.5456,0.6
mag_Deva,1.0,0.1,0.91,0.6153,0.5456,1.0
mai_Deva,1.0,0.1,0.78,0.5689,0.5456,0.7
mal_Mlym,1.0,0.2,0.78,0.552,0.5456,0.7
mar_Deva,1.0,0.2,0.85,0.5522,0.5456,0.7
mhr_Cyrl,1.0,0.3,0.93,0.5671,0.5295,0.7
min_Arab,1.0,0.1,0.52,0.5147,0.5456,0.6
min_Latn,1.0,0.1,0.52,0.5147,0.5456,0.6
mkd_Cyrl,1.0,0.4,0.58,0.5611,0.5456,0.6
mlt_Latn,1.0,0.5,1.0,0.578,0.5456,0.7
mni_Beng,1.0,0.1,0.79,0.5805,0.409,0.6
mni_Mtei,1.0,0.1,0.79,0.5805,0.409,0.6
mos_Latn,1.0,0.6,0.65,0.4941,0.8337,0.6
mri_Latn,1.0,0.5,0.56,0.6256,0.5533,0.6
mya_Mymr,1.0,0.1,0.8,0.4695,0.3141,0.6
nld_Latn,1.0,0.5,0.69,0.46,0.5456,0.6
nno_Latn,1.0,1.0,0.66,0.6153,0.5456,0.6
nob_Latn,1.0,0.4,0.68,0.61,0.4788,0.6
npi_Deva,1.0,1.0,0.91,0.6153,0.5456,0.9
nqo_Nkoo,1.0,1.0,0.66,0.6153,0.5456,0.6
nso_Latn,1.0,0.5,0.71,0.6153,0.5456,0.8
nus_Latn,1.0,0.4,0.63,0.5162,0.5456,0.6
nya_Latn,1.0,0.4,0.62,0.6153,0.5456,0.8
oci_Latn,1.0,0.5,0.73,0.6153,0.5456,0.9
ory_Orya,1.0,1.0,0.66,0.6153,0.5456,0.6
pag_Latn,1.0,0.1,0.65,0.5586,0.5456,0.6
pan_Guru,1.0,0.2,0.77,0.4909,0.5456,0.6
pap_Latn,1.0,0.8,1.0,0.6153,1.0,1.0
pbt_Arab,1.0,0.2,0.66,0.6153,0.5456,0.6
pes_Arab,1.0,0.3,0.71,0.514,0.4788,0.6
plt_Latn,1.0,0.4,0.57,0.5267,0.3277,0.5
pol_Latn,1.0,0.4,0.59,0.5444,0.4407,0.6
por_Latn,1.0,0.5,0.57,0.4546,0.5456,0.5
prs_Arab,1.0,0.2,0.87,0.6153,0.5456,0.9
quy_Latn,1.0,1.0,0.85,0.617,0.5456,0.7
ron_Latn,1.0,0.4,0.63,0.5328,0.4934,0.6
run_Latn,1.0,0.4,0.87,0.5707,0.5456,0.7
rus_Cyrl,1.0,0.2,0.66,0.6154,0.4407,0.6
sag_Latn,1.0,0.5,0.58,0.4587,0.4601,0.5
san_Deva,1.0,0.2,0.87,0.6026,0.5456,0.7
sat_Olck,0.75,0.1,0.79,0.5458,0.5456,0.7
scn_Latn,1.0,0.4,0.68,0.6153,0.5456,0.8
shn_Mymr,1.0,0.0,0.62,0.6153,0.4467,0.7
sin_Sinh,1.0,0.2,0.87,0.5964,0.5456,0.7
