lang,iso_code,wals_code,script,variety,name,family,genus,d_gen,d_geo,d_syn,d_inv,d_pho,d_fea,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,81A,ttr_flores,rttr_flores,mattr_flores,ttr,msp,ws,wh,lh,is,mfh,-ia,h_dep,h_codep,SO_prop,head_finality,wiki_size
ace_Arab,ace,ace,Arab,achi1257,Acehnese (Arabic script),Austronesian,Malayo-Sumbawan,1.0,0.5,0.67,0.4738,0.5687,0.6,,,,,1.0,1.0,1.0,2.0,1.0,,,,7.0,0.2677527551509343,38.68077553234192,0.5660766776299851,,,,,,,,,,,,,
ace_Latn,ace,ace,Latn,achi1257,Acehnese (Latin script),Austronesian,Malayo-Sumbawan,1.0,0.5,0.67,0.4738,0.5687,0.6,,,,,1.0,1.0,1.0,2.0,1.0,,,,7.0,0.2732366183091546,38.63183155384433,0.5751670001539243,,,,,,,,,,,,,
acm_Arab,acm,arq,Arab,meso1252,Mesopotamian Arabic,Afro-Asiatic,Semitic,1.0,0.2,0.68,0.5983,0.5687,0.8,,,,,,,,,4.0,,,,2.0,0.472761109857884,62.953605011457775,0.7860247200139443,,,,,,,,,,,,,1237148.0
acq_Arab,acq,,Arab,taiz1242,Taʽizzi-Adeni Arabic,Eastern Sudanic,Eastern Nilotic,1.0,0.3,0.57,0.5983,0.5687,0.6,,,,,,,,,,,,,,0.4683356258596974,63.138521104930426,0.7763434034849569,,,,,,,,,,,,,
aeb_Arab,aeb,atu,Arab,tuni1259,Tunisian Arabic,Afro-Asiatic,Semitic,1.0,0.1,0.93,0.5983,0.5687,1.0,,,,,,,,,,,,,,0.4683494710919572,62.60310195267882,0.7573709120221075,,,,,,,,,,,,,
afr_Latn,afr,afr,Latn,afri1274,Afrikaans,Indo-European,Germanic,0.6,0.4,0.63,0.5144,0.5687,0.6,,,,,,,,,,,,,,0.2271141946371648,37.08643367489884,0.5111791638003478,0.168628,1.148436674,0.543985029,8.941647741,8.775155967,3.0,3.867341943,-0.6670442898,0.5623483705682986,0.4623736165006444,,0.48,117827.0
als_Latn,als,,Latn,tosk1239,Albanian (Tosk),Eastern Sudanic,Eastern Nilotic,0.75,0.1,0.55,0.4838,0.2736,0.5,,,,,,,,,,,,,,0.2721968543886352,45.21582215677427,0.5355232330688441,,,,,,,,,,,,,98449.0
amh_Ethi,amh,amh,Ethi,amha1245,Amharic,Afro-Asiatic,Semitic,1.0,0.3,0.61,0.492,0.4816,0.5,,,,,,,,,3.0,1.0,,,1.0,0.4104115022310362,58.28710333743235,0.697713588531343,,,,,,,,,,,,,15377.0
apc_Arab_nort3139,apc,anl,Arab,nort3139,Levantine Arabic (North),Afro-Asiatic,Semitic,1.0,0.2,0.61,0.5983,0.5687,0.8,,,,,,,,,,,,,,0.4849091016061658,63.21883275921834,0.7829112619711533,,,,,,,,,,,,,
apc_Arab_sout3123,apc,,Arab,sout3123,Levantine Arabic (South),Eastern Sudanic,Eastern Nilotic,1.0,0.2,0.61,0.5983,0.5687,0.8,,,,,,,,,,,,,,0.4499408417375626,59.94353644986402,0.738997681159406,,,,,,,,,,,,,
arb_Arab,arb,ams,Arab,stan1318,Modern Standard Arabic,Afro-Asiatic,Semitic,1.0,0.2,0.67,0.5983,0.5687,0.8,,,,,,,,,2.0,,,,3.0,0.3825104374659648,56.78186750539839,0.6714834935227875,,,,,,,,,,,-0.933497443346155,0.13,
arb_Latn,arb,ams,Latn,stan1318,Modern Standard Arabic (Romanized),Afro-Asiatic,Semitic,1.0,0.2,0.67,0.5983,0.5687,0.8,,,,,,,,,2.0,,,,3.0,0.4131155303030303,60.03693031704685,0.6838565539983344,,,,,,,,,,,-0.933497443346155,0.13,
ars_Arab,ars,,Arab,najd1235,Najdi Arabic,Eastern Sudanic,Eastern Nilotic,1.0,0.2,0.79,0.5983,0.5687,0.9,,,,,,,,,,,,,,0.4566836324671846,62.39207708635995,0.7640548277001111,,,,,,,,,,,,,
ary_Arab,ary,amr,Arab,moro1292,Moroccan Arabic,Afro-Asiatic,Semitic,1.0,0.1,0.64,0.5503,0.8886,0.6,,,,,,,,,3.0,,,,,0.4710661581827226,63.36321382467389,0.7608199386154457,,,,,,,,,,,,,10124.0
arz_Arab,arz,aeg,Arab,egyp1253,Egyptian Arabic,Afro-Asiatic,Semitic,1.0,0.2,0.62,0.4688,0.427,0.5,6.0,5.0,3.0,4.0,4.0,4.0,5.0,2.0,3.0,1.0,1.0,2.0,2.0,0.4365435570215757,59.36510874103728,0.7492927642547546,,,,,,,,,,,,,1624150.0
asm_Beng,asm,ass,Beng,assa1263,Assamese,Indo-European,Indic,0.9,0.4,0.81,0.4638,0.5687,0.6,,,,,,,,,2.0,1.0,,,1.0,0.4068770958641614,55.768884880241686,0.7649199475065556,,,,,,,,,,,,,13528.0
ast_Latn,ast,ast,Latn,astu1245,Asturian,Indo-European,Romance,0.9,0.1,0.57,0.5983,0.5687,0.6,,,,,,,,,,,,,,0.3018677678014116,43.56423597594103,0.6048058835104169,,,,,,,,,,,,,136358.0
awa_Deva,awa,awd,Deva,awad1243,Awadhi,Indo-European,Indic,0.9,0.4,0.88,0.5166,0.5687,0.7,,,,,,,,,,,,,,0.2161806440998642,33.70824031878387,0.5610084824053194,,,,,,,,,,,,,2472.0
ayr_Latn,ayr,aym,Latn,cent2142,Central Aymara,Aymaran,Aymaran,1.0,0.5,0.67,0.5978,0.5879,0.6,1.0,1.0,2.0,5.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,0.5081926514399205,64.50644487173409,0.77742573496445,,,,,,,,,,,,,5174.0
azb_Arab,azb,azi,Arab,sout2697,South Azerbaijani,Altaic,Turkic,1.0,0.2,0.75,0.5514,0.3433,0.6,,,,,,,,,2.0,,,,1.0,0.3442423010468544,48.28972299870223,0.6194179050002602,,,,,,,,,,,,,243577.0
azj_Latn,azj,,Latn,nort2697,North Azerbaijani,Eastern Sudanic,Eastern Nilotic,1.0,0.2,0.57,0.5491,0.5687,0.7,,,,,,,,,,,,,,0.4258972943125345,57.314446966123455,0.7663413775481193,,,,,,,,,,,,,200719.0
bak_Cyrl,bak,bsk,Cyrl,bash1264,Bashkir,Altaic,Turkic,1.0,0.2,0.74,0.4286,0.3064,0.5,,,,,,,,,2.0,,,,,0.4312936442182506,56.064856006794585,0.7667405329593301,,,,,,,,,,,,,63717.0
bam_Latn,bam,bam,Latn,bamb1269,Bambara,Mande,Western Mande,1.0,0.2,0.67,0.5032,0.39,0.6,,,,,,,,,2.0,,1.0,1.0,1.0,0.2464869845657682,36.31398308402509,0.5190940299915064,,,,,,,,,,,,,829.0
ban_Latn,ban,bal,Latn,bali1278,Balinese,Austronesian,Malayo-Sumbawan,1.0,0.6,1.0,0.5233,0.5687,0.7,,,,,,,,,,1.0,,,,0.2804492986179409,38.98043483482456,0.5873035069075371,,,,,,,,,,,,,24762.0
bel_Cyrl,bel,blr,Cyrl,bela1254,Belarusian,Indo-European,Slavic,0.9,0.1,0.76,0.5983,0.5687,0.9,,,,,,,,,2.0,,,,7.0,0.4061929885114146,57.84650239519269,0.7292618542108763,,,,,,,,,0.4175179110458715,0.6696258174680465,,0.36,244346.0
bem_Latn,bem,bem,Latn,bemb1257,Bemba,Niger-Congo,Bantu,1.0,0.4,0.79,0.5043,0.5687,0.6,,,,,,,,,,,,,,0.321389346512905,47.50912944435134,0.6591699526998612,,,,,,,,,,,,,
ben_Beng,ben,ben,Beng,beng1280,Bengali,Indo-European,Indic,0.875,0.4,0.7,0.4982,0.4054,0.6,,,,,,,,,,,,,1.0,0.3109848148477044,46.67052220827748,0.659838804885811,,,,,,,,,,,,,
bho_Deva,bho,bho,Deva,bhoj1244,Bhojpuri,Indo-European,Indic,0.9,0.4,0.68,0.5983,0.5687,0.8,,,,,,,,,2.0,,,,1.0,0.2338007135153074,36.30014905440847,0.5624663870885791,,,,,,,,,,,,,8722.0
bjn_Arab,bjn,,Arab,banj1239,Banjar (Jawi script),Eastern Sudanic,Eastern Nilotic,1.0,0.6,0.57,0.5983,0.5687,0.6,,,,,,,,,,,,,,0.3931391518067249,54.36561545023617,0.6416560352233686,,,,,,,,,,,,,
bjn_Latn,bjn,,Latn,banj1239,Banjar (Latin script),Eastern Sudanic,Eastern Nilotic,1.0,0.6,0.57,0.5983,0.5687,0.6,,,,,,,,,,,,,,0.2861463678098839,38.93588905697114,0.6131294404973318,,,,,,,,,,,,,10765.0
bod_Tibt,bod,tib,Tibt,utsa1239,Lhasa Tibetan,Sino-Tibetan,Bodic,1.0,0.4,0.78,0.5252,0.4477,0.6,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,,,,,1.0,0.162128751120314,29.16380339354192,0.5474515663255769,,,,,,,,,,,,,7097.0
bos_Latn,bos,bos,Latn,bosn1245,Bosnian,Indo-European,Slavic,0.9,0.1,0.61,0.5983,0.5687,0.8,,,,,,,,,,,,,,0.4025703730683178,55.80938072071374,0.6877444444444324,,,,,,,,,,,,,93671.0
brx_Deva,brx,bod,Deva,bodo1269,Bodo,Sino-Tibetan,Brahmaputran,1.0,0.4,0.71,0.5256,0.3433,0.6,,,,,,,,,2.0,,,,,0.4345291479820627,58.03852130401799,0.7596620725448167,,,,,,,,,,,,,
bug_Latn,bug,bug,Latn,bugi1244,Buginese,Austronesian,South Sulawesi,1.0,0.6,0.71,0.5119,0.5687,0.6,,,,,,,,,,,,,2.0,0.3795582139671546,52.399657630927294,0.6620733836206998,,,,,,,,,,,,,15843.0
