lang,iso_code,wals_code,script,variety,name,family,genus,d_syn,train_frac_estimate,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,ttr_flores,ttr,ttr_sd,msp,msp_sd,ws,ws_sd,wh,wh_sd,lh,lh_sd,is,is_sd,mfh,mfh_sd,-ia,-ia_sd,h_dep_avg,h_codep_avg
afr_Latn,afr,afr,Latn,afri1274,Afrikaans,Indo-European,Germanic,0.63,0.0037800207238562,,,,,,,,,,,,,0.2515958416925041,0.168628,0.002374534902,1.148436674,0.004036106645,0.543985029,0.01145824773,8.941647741,0.02190106666,8.775155967,0.02028307541,3.0,0.0,3.867341943,0.5501693385,-0.6670442898,0.0,0.5623483705682986,0.4623736165006444
bul_Cyrl,bul,bul,Cyrl,bulg1262,Bulgarian,Indo-European,Slavic,0.48,0.0,,,,,,,,,2.0,,,,0.355772584583188,0.3551605,0.003757081946,1.430487855,0.00425175335,0.46335577,0.006329397945,10.54129902,0.02365964578,9.801146364,0.02500446459,9.6,0.4898979486,3.7559373,0.5933548429,-0.3490676305,0.0,0.4741220041274399,0.6810344227417745
cat_Latn,cat,ctl,Latn,stan1289,Catalan,Indo-European,Romance,0.53,0.0,,,,,,,,,,3.0,,,0.2444398426175191,0.2578375,0.003072217237,1.252523247,0.004876422929,0.4262502014,0.007666236009,9.447236817,0.02342034076,8.749057703,0.02735313086,6.0,0.0,3.552881864,0.3368584395,-0.517017017,0.0,0.3913597655460314,0.62481517904437
ces_Latn,ces,cze,Latn,czec1258,Czech,Indo-European,Slavic,0.66,0.0,,,,,,,,,3.0,,,,0.4375929905769549,0.4080221666666666,0.0039698737363333,1.509301801,0.0039508696403333,0.4116308982333334,0.0054561767609999,11.21911277,0.0224706643566666,10.207946061666666,0.0276421296333333,11.4,0.5199633111,3.9536920283333337,0.7763187696,-0.3273692854333333,0.0,0.5675276288157657,0.8729961845050049
cmn_Hans,cmn,mnd,Hans,beij1234,Mandarin Chinese (Standard Beijing),Sino-Tibetan,Chinese,0.55,0.0,7.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.9478991596638656,0.3006155,0.003523320132,1.000835208,0.0001153559631,0.5520700313,0.008997585952,10.78694394,0.02728879498,10.77949026,0.0235474244,1.0,0.0,2.741359573,0.1482558246,-0.998998999,0.0,,
cmn_Hant,cmn,mnd,Hant,taib1240,Mandarin Chinese (Taiwanese),Sino-Tibetan,Chinese,0.55,0.0,7.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.951715374841169,0.3006155,0.003523320132,1.000835208,0.0001153559631,0.5520700313,0.008997585952,10.78694394,0.02728879498,10.77949026,0.0235474244,1.0,0.0,2.741359573,0.1482558246,-0.998998999,0.0,,
ekk_Latn,ekk,est,Latn,esto1258,Estonian,Uralic,Finnic,0.69,0.0,,,,,,,,,2.0,,,,0.4957161896300057,0.4908085,0.004143989955,1.471287946,0.004032261988,0.4581399005,0.005388463061,11.89101568,0.02754823649,10.86535025,0.03447262611,9.93,0.4063249931,3.704047588,0.6488342858,-0.1770093447,0.0,,
ell_Grek,ell,grk,Grek,mode1248,Greek,Indo-European,Greek,0.52,0.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,0.322229624694648,0.2487795,0.003433846932,1.613331432,0.004359958489,0.5169611596,0.007327460445,9.696859999,0.02057792113,8.351142064,0.02188137361,9.0,0.0,3.668587514,0.509442181,-0.3470446494,0.0,0.4151166361668909,0.6754410575827845
eng_Latn,eng,eng,Latn,stan1293,English,Indo-European,Germanic,0.0,0.3289541778517688,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0.250287797390637,0.21322975,0.00280262133025,1.1999853225,0.003989466543,0.3447120456,0.0072129421485,9.6080137905,0.0268911208775,9.191172055,0.02551200588,6.1375,0.2363814489,3.72410539275,0.361524383475,-0.67024734315,0.0,0.3612439683565323,0.3844439063173674
eus_Latn,eus,bsq,Latn,basq1248,Basque,Basque,Basque,0.61,0.0,1.0,1.0,1.0,3.0,3.0,2.0,5.0,2.0,4.0,1.0,2.0,3.0,0.4201880728484704,0.3767215,0.003945125188,1.779372454,0.004188887633,0.5698891725,0.00639943772,11.32465899,0.02550663366,9.678489659,0.02305751699,19.13,1.411771936,3.76816246,0.7769198296,-0.3170176164,0.0,0.6524873930407307,0.8742562979384555
fin_Latn,fin,fin,Latn,finn1318,Finnish,Uralic,Finnic,0.53,0.0,1.0,2.0,1.0,2.0,2.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,0.5442154255319149,0.49185625,0.0045681495215,1.6473674535,0.0041420045035,0.51525612905,0.0061992570845,11.9248204,0.02699064425,10.52468358,0.03468530106,16.645,0.3949820872999999,3.7842248115,0.76835147515,-0.18550286815,0.0,0.5589332145876035,0.686841632123994
fra_Latn,fra,fre,Latn,stan1290,French,Indo-European,Romance,0.46,0.0224653116736396,1.0,5.0,2.0,3.0,4.0,2.0,5.0,2.0,2.0,3.0,3.0,2.0,0.2482533015629417,0.254833,0.0033324219935,1.259284245,0.0041378975725,0.44809908045,0.007850307575,9.450808215,0.025368553565,8.647569557499999,0.028037943415,6.5,0.0,3.3477259725,0.26886062565,-0.5554926184,0.0,0.4039850921398672,0.4972663586153365
heb_Hebr,heb,heb,Hebr,hebr1245,Hebrew,Afro-Asiatic,Semitic,0.52,0.0,6.0,5.0,3.0,3.0,2.0,2.0,5.0,2.0,3.0,1.0,1.0,2.0,0.4949488875526157,0.265816,0.002916649448,1.404472533,0.004894390514,0.188939859,0.008729938803,9.489467886,0.0268604452,8.799549238,0.02686774285,12.0,0.0,3.582896654,0.4987717643,-0.4390258522,0.0,0.3585033523111254,0.6188741742433425
hin_Deva,hin,hin,Deva,hind1269,Hindi,Indo-European,Indic,0.59,0.0368332622130518,1.0,1.0,2.0,2.0,3.0,2.0,5.0,2.0,2.0,1.0,3.0,2.0,0.2220896750308515,0.2209145,0.002932237158,1.197362476,0.004518716303,0.2165604927,0.00535206021,9.677578621,0.02597274565,9.024242814,0.03088907657,10.48,0.4995998399,3.386435367,0.3419674023,-0.6769703836,0.0,0.1624120983654735,0.4975648564156359
