lang,BLEU_num_beams_1,chrF++_num_beams_1,COMET_num_beams_1
afr_Latn,37.49605109810542,63.59182391840176,0.8660
arb_Arab,26.069450576142614,53.587914537429626,0.8627
bul_Cyrl,38.57082441385834,62.25000087685289,0.9015
cat_Latn,40.476135910646484,62.69525135130864,0.8711
ces_Latn,29.60019849617081,54.107048822712144,0.9015
cmn_Hans,24.794814751865957,18.059477370891276,0.7682
cmn_Hant,11.910663007400117,11.34648057407497,0.7062
ekk_Latn,22.68518878912145,52.50115305431686,0.8901
ell_Grek,25.44444112557254,49.40809186116686,0.8799
eus_Latn,12.92459454669269,44.61955298009408,0.8230
fin_Latn,20.68457086632436,50.15846493749808,0.8997
heb_Hebr,28.176469352010592,54.600777902020006,0.8685
hin_Deva,32.52102061525956,56.055354218963984,0.8067
hun_Latn,24.63236134623822,52.148735878520036,0.8812
ind_Latn,43.53378593714526,66.21010181661885,0.9038
ita_Latn,30.018001379822554,56.17369588057037,0.8816
jpn_Jpan,18.68249185455333,21.72418103054651,0.8444
kor_Hang,28.366542454187606,33.806777472915876,0.8861
nld_Latn,26.232276743828866,53.93650933949938,0.8672
pes_Arab,20.697666282897593,47.538867607742326,0.8611
pol_Latn,20.505298806929737,47.136281260889234,0.8820
por_Latn,44.1457345299723,65.28780111225015,0.8868
ron_Latn,33.3085881409717,57.60418780503458,0.8911
rus_Cyrl,30.482298306973217,54.28272365426481,0.8823
slk_Latn,31.315341593189107,55.705886320352924,0.8950
slv_Latn,28.94058312132794,53.78136808396638,0.8818
spa_Latn,27.578881664916928,52.980196101045706,0.8605
swe_Latn,41.68138553662958,64.01026619079225,0.8996
tur_Latn,26.547833305223385,56.073290026795,0.8909
uig_Arab,8.287023380835972,36.27394311731548,0.8123
ukr_Cyrl,27.684818465512436,52.63862167733036,0.8814
urd_Arab,22.978187578387008,47.94872659281056,0.8131
vie_Latn,40.52840238924357,58.77137414475164,0.8801
